nct_id,start_year,elig_word_count,summary_word_count,desc_word_count,n_inclusion,n_exclusion,fk_grade_elig,fk_grade_summary,n_numeric_constraints,n_biomarker_terms,label
NCT02499003,2015.0,562.0,62.0,330.0,16.0,16.0,19.65343472750317,14.199016393442626,20.0,1.0,1
NCT00812669,2008.0,130.0,108.0,213.0,19.0,0.0,25.314210526315794,12.172064220183486,2.0,3.0,1
NCT03192462,2018.0,408.0,200.0,409.0,22.0,9.0,9.792872340425536,10.52810975609756,7.0,3.0,1
NCT01949883,2013.0,568.0,29.0,0.0,7.0,21.0,17.477456770417664,12.913064516129037,15.0,0.0,1
NCT01692496,2013.0,1651.0,611.0,0.0,30.0,25.0,13.275851741293536,13.360947546531303,52.0,3.0,1
NCT06876142,2026.0,973.0,313.0,442.0,36.0,17.0,16.132690035753146,7.332608695652176,34.0,7.0,0
NCT02921256,2017.0,1413.0,165.0,502.0,29.0,37.0,29.157047511312218,15.783165680473378,33.0,8.0,1
NCT04046653,2019.0,146.0,55.0,0.0,4.0,10.0,25.516470588235297,15.087727272727275,1.0,0.0,1
NCT00942162,2009.0,673.0,29.0,130.0,13.0,18.0,15.743975460122702,21.241935483870964,8.0,5.0,1
NCT03881735,2019.0,1328.0,68.0,204.0,20.0,24.0,31.527469799401533,12.685294117647064,28.0,6.0,0
NCT02195479,2014.0,594.0,47.0,167.0,7.0,12.0,63.57319271758438,26.638367346938775,11.0,3.0,1
NCT05204290,2022.0,392.0,28.0,70.0,10.0,10.0,14.51414544235925,15.251034482758623,3.0,0.0,0
NCT05199584,2022.0,658.0,74.0,0.0,7.0,18.0,24.407560863573725,14.414782608695656,16.0,3.0,1
NCT02398058,2014.0,616.0,50.0,0.0,8.0,30.0,18.741655502392344,20.880454545454544,27.0,3.0,1
NCT03599453,2019.0,464.0,101.0,284.0,17.0,14.0,29.682924473067917,19.511538461538468,12.0,1.0,1
NCT04600336,2021.0,363.0,62.0,293.0,7.0,4.0,31.99625,17.40225806451613,7.0,0.0,1
NCT00885755,2009.0,65.0,120.0,0.0,5.0,5.0,19.63259259259259,15.591573770491802,5.0,2.0,1
NCT05356897,2023.0,1201.0,209.0,263.0,35.0,23.0,30.097493676603438,11.67982227488152,33.0,14.0,0
NCT01240590,2011.0,1294.0,551.0,613.0,24.0,21.0,15.031402011459711,17.075602040816324,23.0,4.0,1
NCT00183885,2004.0,366.0,203.0,0.0,10.0,5.0,12.120909090909091,9.213026315789477,3.0,0.0,1
NCT01027416,2009.0,353.0,49.0,162.0,10.0,15.0,10.940991848991853,16.816,2.0,3.0,1
NCT01867333,2013.0,1155.0,331.0,387.0,23.0,24.0,18.241428571428575,9.165211939484802,21.0,0.0,1
NCT00770185,2008.0,618.0,57.0,141.0,74.0,0.0,22.666567816635162,15.047586206896558,23.0,2.0,1
NCT00470704,2007.0,282.0,105.0,183.0,15.0,8.0,57.96637254901961,12.93837735849057,4.0,5.0,1
NCT02138617,2014.0,628.0,330.0,294.0,20.0,22.0,13.739536109646814,16.497934131736532,28.0,3.0,1
NCT01281124,2011.0,604.0,51.0,157.0,35.0,6.0,34.91644265232975,13.611538461538462,15.0,1.0,1
NCT03469713,2017.0,548.0,95.0,0.0,9.0,15.0,24.759952821629472,12.078170212765958,15.0,4.0,1
NCT01402284,2011.0,812.0,296.0,435.0,21.0,21.0,14.277185176301273,11.095138888888886,18.0,2.0,1
NCT01855750,2013.0,448.0,66.0,296.0,12.0,13.0,171.78190476190477,35.86619718309859,13.0,1.0,1
NCT04122625,2019.0,197.0,167.0,0.0,4.0,4.0,17.847291666666667,30.50720930232558,3.0,4.0,1
NCT00679289,2008.0,446.0,112.0,237.0,14.0,12.0,14.332106838590835,18.083674796747967,15.0,4.0,1
NCT03548948,2015.0,228.0,204.0,0.0,9.0,18.0,15.951392487046636,17.370076923076926,12.0,0.0,1
NCT01154140,2011.0,292.0,21.0,0.0,6.0,10.0,20.35378896882494,15.51727272727273,5.0,3.0,1
NCT06626633,2024.0,1395.0,147.0,0.0,21.0,39.0,20.589193862113678,11.313873873873874,31.0,10.0,0
NCT02391025,2015.0,238.0,70.0,148.0,7.0,7.0,38.16754385964913,22.40664383561644,6.0,0.0,1
NCT03637491,2018.0,339.0,88.0,114.0,13.0,18.0,13.792893772893777,15.348139534883725,4.0,6.0,0
NCT05742568,2022.0,228.0,92.0,287.0,5.0,15.0,9.991870015948965,17.71190860215054,6.0,1.0,1
NCT00088413,2004.0,1016.0,360.0,452.0,22.0,18.0,12.256124399074128,13.657818181818183,13.0,4.0,1
NCT03805841,2019.0,465.0,8.0,0.0,19.0,19.0,21.960606060606064,5.682857142857145,24.0,12.0,0
NCT01719380,2012.0,69.0,28.0,0.0,5.0,7.0,36.82000000000001,18.08714285714286,2.0,0.0,1
NCT04537702,2019.0,151.0,149.0,0.0,3.0,6.0,25.150810810810814,16.816,0.0,2.0,1
NCT03187184,2017.0,121.0,115.0,1170.0,6.0,3.0,12.886795543905642,14.35630434782609,3.0,0.0,1
NCT01540565,2012.0,1039.0,49.0,166.0,28.0,10.0,43.23310245310246,12.748673469387757,10.0,5.0,1
NCT00450463,2007.0,866.0,364.0,635.0,21.0,18.0,11.117286549707604,13.024712436506636,15.0,1.0,1
NCT04142892,2020.0,1065.0,42.0,180.0,28.0,25.0,11.409051724137932,25.603255813953492,28.0,13.0,1
NCT03630809,2019.0,573.0,125.0,0.0,9.0,14.0,13.923896678966791,13.724183206106872,9.0,21.0,0
NCT01847274,2013.0,175.0,152.0,0.0,8.0,8.0,68.30774193548388,18.63298701298702,5.0,1.0,1
NCT00968760,2011.0,346.0,226.0,1901.0,17.0,4.0,11.204119601328902,11.36144827586207,10.0,11.0,1
NCT02908750,2017.0,621.0,114.0,386.0,10.0,23.0,18.843182346109177,17.272934782608697,24.0,7.0,1
NCT04040725,2019.0,2098.0,25.0,143.0,32.0,52.0,13.810630195070626,16.816,50.0,12.0,0
NCT02947386,2017.0,637.0,69.0,642.0,18.0,19.0,24.14997324414716,17.36767605633803,19.0,12.0,1
NCT04271254,2020.0,272.0,111.0,477.0,10.0,11.0,8.896636029411766,16.54937931034483,7.0,1.0,0
NCT02625857,2015.0,325.0,53.0,126.0,6.0,6.0,28.731996805111823,28.414444444444445,8.0,0.0,1
NCT05337137,2022.0,121.0,32.0,0.0,5.0,7.0,55.79310344827587,26.601212121212125,1.0,0.0,1
NCT00665457,2004.0,244.0,64.0,342.0,12.0,12.0,36.82252336448599,16.986875,9.0,1.0,0
NCT04022785,2019.0,756.0,102.0,211.0,20.0,9.0,20.530285714285714,13.443235294117649,15.0,4.0,1
NCT03333915,2016.0,282.0,76.0,0.0,7.0,7.0,13.984344557044789,39.82368421052631,7.0,3.0,1
NCT00390325,2006.0,717.0,72.0,225.0,19.0,14.0,52.654185185185185,17.788888888888888,14.0,1.0,1
NCT04866810,2023.0,416.0,269.0,450.0,7.0,15.0,16.014567430025448,8.073853383458651,9.0,0.0,0
NCT04313868,2014.0,469.0,22.0,89.0,15.0,10.0,13.388005479452055,18.447619047619053,9.0,3.0,1
NCT03829410,2019.0,1306.0,74.0,0.0,21.0,33.0,14.12931188290317,23.525000000000002,28.0,12.0,1
NCT03694262,2019.0,1338.0,19.0,98.0,29.0,23.0,11.304132149313627,23.493684210526315,30.0,1.0,1
NCT03147040,2017.0,136.0,23.0,0.0,9.0,8.0,24.81931034482759,17.37,3.0,0.0,0
NCT01822496,2013.0,774.0,126.0,192.0,23.0,15.0,49.095552560646894,14.951812500000003,25.0,17.0,0
NCT05128318,2022.0,142.0,167.0,53.0,9.0,7.0,13.252580645161288,15.55800865800866,2.0,0.0,0
NCT03205761,2017.0,1630.0,48.0,176.0,40.0,22.0,12.015817692601303,24.471020408163266,34.0,20.0,1
NCT03404193,2018.0,567.0,73.0,374.0,15.0,8.0,214.6693233082707,17.496756756756756,11.0,2.0,0
NCT02265536,2015.0,849.0,46.0,0.0,23.0,15.0,15.999417610522471,11.181046511627908,31.0,2.0,1
NCT01506609,2012.0,256.0,48.0,0.0,9.0,11.0,13.273049078392184,26.638367346938775,3.0,7.0,1
NCT00770471,2009.0,448.0,108.0,297.0,36.0,0.0,25.49083333333333,12.09682882882883,21.0,1.0,1
NCT00536809,2007.0,798.0,46.0,0.0,34.0,18.0,11.466598099886692,26.976086956521744,9.0,4.0,1
NCT02671890,2016.0,660.0,182.0,282.0,40.0,11.0,40.9367115902965,15.491758241758244,18.0,1.0,0
NCT02536742,2016.0,635.0,69.0,169.0,31.0,16.0,13.927399093459961,19.008888888888894,21.0,3.0,1
NCT03440879,2018.0,237.0,155.0,412.0,7.0,27.0,49.48158536585366,12.302515723270442,4.0,1.0,0
NCT04201756,2020.0,461.0,263.0,0.0,12.0,15.0,30.293189368770765,17.451280575539574,9.0,3.0,1
NCT03460483,2018.0,110.0,71.0,175.0,3.0,6.0,46.63313725490197,21.024014084507048,0.0,0.0,1
NCT01292356,2010.0,147.0,185.0,0.0,7.0,12.0,62.342748091603056,14.194756613756613,1.0,2.0,1
NCT00378703,2007.0,874.0,116.0,385.0,48.0,0.0,35.68782257132956,16.447655172413793,32.0,4.0,1
NCT03222856,2017.0,1065.0,122.0,323.0,22.0,37.0,11.786969132814537,13.521967213114756,18.0,13.0,1
NCT04095273,2019.0,552.0,98.0,0.0,11.0,14.0,15.461816955684007,15.518061224489795,15.0,5.0,1
NCT05062980,2022.0,1017.0,195.0,365.0,28.0,22.0,11.72777691833198,16.76522905759163,37.0,7.0,0
NCT02067741,2016.0,475.0,299.0,1103.0,18.0,14.0,12.080938159879338,16.011809298193665,27.0,6.0,0
NCT04228042,2020.0,1154.0,66.0,257.0,10.0,34.0,19.484975669099757,13.021492537313431,33.0,2.0,0
NCT03568188,2018.0,474.0,171.0,0.0,9.0,27.0,11.748131770190597,15.811996658312449,8.0,0.0,1
NCT05908838,2017.0,207.0,62.0,183.0,9.0,8.0,8.718851851851856,21.7934126984127,3.0,0.0,1
NCT03074825,2017.0,585.0,56.0,0.0,11.0,24.0,14.113072898500178,17.598846153846157,21.0,3.0,0
NCT04754815,2021.0,829.0,48.0,239.0,9.0,19.0,11.457216417910448,10.911739130434785,17.0,9.0,0
NCT03284268,2017.0,349.0,24.0,35.0,7.0,12.0,10.134171891327068,19.828333333333337,21.0,4.0,1
NCT00429858,2007.0,467.0,77.0,454.0,18.0,16.0,15.665897058823532,14.973076923076924,14.0,1.0,0
NCT01879085,2013.0,343.0,61.0,135.0,17.0,11.0,14.799952921628357,20.305625000000003,12.0,1.0,1
NCT01264328,2011.0,685.0,36.0,306.0,22.0,24.0,23.8284824120603,19.88864864864865,28.0,4.0,1
NCT04044430,2020.0,1500.0,103.0,329.0,29.0,33.0,21.12098465829847,16.788294392523373,39.0,9.0,0
NCT04002401,2019.0,222.0,33.0,39.0,13.0,12.0,49.71182926829269,23.34571428571429,2.0,4.0,1
NCT05164666,2022.0,697.0,225.0,0.0,15.0,22.0,13.504132420091327,7.722798206278032,17.0,8.0,0
NCT05993611,2024.0,1083.0,355.0,386.0,41.0,20.0,45.921852791878166,14.267123287671236,39.0,14.0,0
